page_one_based,chapter,chapter_page_one_based,chapter_title,path,bytes,sha256,width,height,nonwhite_pixels_below_250,nonwhite_fraction,content_bbox,touches_image_edge
94,60,49,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-094.png,265006,B9D3BFED584989C98D0B0D095A86D0EB429FDB0328C683DEBA1B1C7FCE3C280D,1020,1320,74795,0.05555184,"137,161,882,1167",false
95,60,50,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-095.png,289419,1C720DB6E8749B9B477AAADA8D0DB6D7D021696AD0AADD653850F7E268B3BA0A,1020,1320,80860,0.06005645,"138,161,882,1169",false
96,60,51,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-096.png,287599,4E995F163E0121441FCADB5A54919B9A66FCA60F1275631AADDCF45B60762441,1020,1320,79217,0.05883616,"137,161,882,1168",false
97,60,52,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-097.png,293193,3B16630C6E601762BF85C5979E6B462298D4745517C7725E1C58538C74F94D19,1020,1320,84077,0.06244578,"137,161,882,1160",false
98,61,1,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-098.png,168554,3CEA67EE4E50F1268D825BEBC247FEB94C1DC7AAB9081701568C3A090D020724,1020,1320,41858,0.03108883,"138,250,882,1183",false
99,61,2,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-099.png,388277,B60CBAC50A9CDCEA0CF0DCFA67B9FD4BE7E439E1417F34A9A69E210F433CD1A7,1020,1320,111902,0.08311200,"138,161,882,1167",false
100,61,3,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-100.png,385750,13D165CC4385F9C81F378E34BB257F70F630A7853D6F2F2D786762B40616639D,1020,1320,111338,0.08269311,"138,161,882,1168",false
101,61,4,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-101.png,271643,0CC440CBA03A930895F24D3009A05B3B5D7437B804DF94284BB1E2705264FD7A,1020,1320,73988,0.05495247,"138,161,882,1166",false
102,61,5,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-102.png,215009,88928EC94E6F20D1502579C033054DE7AE022619646CAFC4C1546F59F90D3C28,1020,1320,59331,0.04406640,"138,161,882,1166",false
103,61,6,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-103.png,348936,E9F1949E447FBA44476E944974FF01E5B0905459603C591442EE2786FC4D165C,1020,1320,97709,0.07257056,"138,161,882,1169",false
104,61,7,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-104.png,327696,69545AC5B3B6CB30BDDF05E595F6CE7A40A30A8C4A25E2AAE5CCC834CFFF8F43,1020,1320,92658,0.06881907,"138,161,882,1168",false
105,61,8,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-105.png,386324,1A68A8236E09829D3C5F71EBDFC25A0BD25DD169CE1E3D140841D5CA9067164E,1020,1320,108872,0.08086156,"138,161,882,1168",false
106,61,9,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-106.png,347929,4D8162456ACC457CC78712B52FE6C67EF6D40A34B433B4F562DAE53A2D3CA6EB,1020,1320,98234,0.07296049,"138,161,882,1141",false
107,61,10,프로에탈 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-107.png,290423,4C61DADBEA0296D6B97B93F52D65023AE03A228AF367E8E669339893757A7800,1020,1320,81811,0.06076277,"138,161,882,1168",false
